,name,rating,region,link
96,Opheliah Maria Bolgheri Superiore ,4.7,Bolgheri,https://www.vivino.com/tenuta-argentiera-opheliah-maria-bolgheri-superiore/w/3778314?year=2012
97,Barolo ,4.7,Barolo,https://www.vivino.com/prunotto-barolo/w/61134?year=1998
98,Bassolino di Sopra Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/pian-dellorino-bassolino-di-sopra-brunello-di-montalcino/w/5333076?year=2010
99,Crichet Pajè Barbaresco ,4.7,Barbaresco,https://www.vivino.com/roagna-crichet-paje-barbaresco/w/78363?year=2005
100,Campo Marna Cinquecento Amarone della Valpolicella ,4.7,Amarone della Valpolicella,https://www.vivino.com/i-campi-campo-marna-cinquecento-amarone-della-valpolicella/w/1176118?year=2006
101,Decavin Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/dieci-terre-decavin-amarone-della-valpolicella-classico/w/4007118?year=2013
102,Sprigione ,4.7,Marche,https://www.vivino.com/il-crinale-sprigione/w/1885769?year=2009
103,Colore Toscana ,4.7,Toscana,https://www.vivino.com/bibi-graetz-colore-toscana/w/1619581?year=2005
104,Barolo Percristina ,4.7,Barolo,https://www.vivino.com/domenico-clerico-barolo-percristina/w/92700?year=1996
105,Forlago Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/fratelli-vogadori-forlago-amarone-della-valpolicella-classico/w/1125270?year=2013
106,Quarto Vecchio Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/il-canovino-quarto-vecchio-amarone-della-valpolicella-classico-riserva/w/5378501?year=2011
107,Riserva vecchie viti dei Capalot e delle Brunate Barolo ,4.7,Barolo,https://www.vivino.com/roberto-voerzio-riserva-vecchie-viti-dei-capalot-e-delle-brunate-barolo/w/1364597?year=1999
108,Falletto Barolo Le Rocche del Falletto ,4.7,Barolo,https://www.vivino.com/bruno-giacosa-falletto-barolo-le-rocche-del-falletto/w/1134557?year=2001
109,Bonsai ,4.7,Rosso di Montalcino,https://www.vivino.com/podere-le-ripi-bonsai/w/3755543?year=2014
110,Il Bisesto Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/le-calendre-il-bisesto-amarone-della-valpolicella-classico/w/3960498?year=2011
111,Sei Vigne Insynthesis ,4.7,Barbera d'Asti,https://www.vivino.com/vinchio-vaglio-serra-sei-vigne-insynthesis/w/1127525?year=2004
112,Campo del Drago Brunello di Montalcino ,4.7,Toscana,https://www.vivino.com/castiglion-del-bosco-campo-del-drago-brunello-di-montalcino/w/1360745?year=2000
113,Arborina Barolo ,4.7,Barolo,https://www.vivino.com/elio-altare-arborina-barolo/w/1800513?year=1999
114,Barolo Rocche Marcenasco ,4.7,Barolo,https://www.vivino.com/renato-ratti-barolo-rocche-marcenasco/w/1129322?year=1999
115,Dulcore ,4.7,Sardegna,https://www.vivino.com/mirto-dulcore/w/2599594?year=2017
116,Amarone Stella ,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/aneri-amarone-stella/w/84344?year=2006
117,Riserva Ferré Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/frescobaldi-riserva-ferre-brunello-di-montalcino/w/2040317?year=1993
118,Perpiero ,4.7,Toscana,https://www.vivino.com/tenuta-moraia-perpiero-tuscany/w/7134653?year=2015
119,Altèsfere Rosso ,4.7,Vino d'Italia,https://www.vivino.com/lauterbach-thurgau-altesfere-rosso-vino-da-tavola/w/1860995?year=2010
120,Ampio ,4.7,Toscana,https://www.vivino.com/le-mortelle-ampio/w/6750502?year=2016
121,Campasso Rosso Veronese ,4.7,Rosso Veronese,https://www.vivino.com/villa-contea-campasso-rosso-veronese/w/2588141?year=2008
122,Unoperuno Barolo ,4.7,Barolo,https://www.vivino.com/elio-altare-unoperuno-barolo/w/4926432?year=2011
123,Amarone della Valpolicella Classico Villa ,4.7,Amarone della Valpolicella,https://www.vivino.com/domini-veneti-amarone-della-valpolicella-classico-villa/w/1523859?year=2005
124,Riserva Barolo ,4.7,Barolo,https://www.vivino.com/renato-corino-riserva-barolo/w/1711391?year=2008
125,La Casa Brunello di Montalcino ,4.7,Brunello di Montalcino,https://www.vivino.com/caparzo-la-casa-brunello-di-montalcino/w/77487?year=1990
