,name,rating,sub_region,year,price_DKK,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,winery,light-bold-cat,smooth-tannic-cat,dry-sweet-cat,soft-acidic-cat,region,cardinal_1,cardinal_2
5089,Centine Rosso ,3.7,Toscana,2011,125 ,1700,1398.0,0.426893,0.343597,0.033017000000000005,0.426064,Banfi,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5090,Mazzano Amarone Della Valpolicella Classico ,4.5,Amarone della Valpolicella Classico,2011,856.58 ,457,553.0,0.825,0.29096999999999995,0.459239,0.228381,Masi,bold,semi smooth,sweet,semi soft,Veneto,North,North-east
5091,Barolo Monprivato ,4.5,Barolo,2011,856.58 ,488,881.0,0.54243,0.729328,0.048649899999999996,0.8094589999999999,Mascarello Giuseppe e Figlio,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5092,Alteo Amarone della Valpolicella ,4.5,Amarone della Valpolicella,2011,556 ,199,107.0,0.825,0.218538,0.428361,0.252683,Fasoli Gino,bold,smooth,semi sweet,semi soft,Veneto,North,North-east
5093,Rubesco Vigna Monticchio Torgiano Rosso Riserva ,4.2,Torgiano Rosso Riserva,2011,254.44 ,409,640.0,0.47749400000000003,0.43454099999999996,0.05941989999999999,0.446736,Lungarotti,semi light,semi smooth,dry,semi acidic,Umbria,Central,Central
5094,Vino Nobile di Montepulciano ,4.1,Vino Nobile di Montepulciano,2011,269 ,1704,1831.0,0.493596,0.535318,0.015415700000000001,0.623152,Avignonesi,semi light,semi tannic,dry,acidic,Toscana,North,North-west
5095,Vino Nobile di Montepulciano ,3.6,Vino Nobile di Montepulciano,2011,166.25 ,1704,1372.0,0.53182,0.550548,0.0212244,0.6117819999999999,Fattoria del Cerro,semi bold,semi tannic,dry,semi acidic,Toscana,North,North-west
5096,Fontalloro ,4.2,Toscana,2011,899 ,1384,1778.0,0.474412,0.416437,0.07278710000000001,0.462598,Fèlsina,semi light,semi smooth,dry,semi acidic,Toscana,North,North-west
5097,Barolo Riserva Bussia  Dì ,4.2,Barolo,2011,506.50 ,1020,446.0,0.6048169999999999,0.750835,0.010921400000000001,0.797477,Giacomo Fenocchio,semi bold,tannic,dry,acidic,Piemonte,North,North-west
5098,Famiglia Zingarelli Chianti Classico ,3.6,Chianti Classico,2011,75.98 ,1531,1779.0,0.423826,0.538038,0.0,0.6224679999999999,Rocca delle Macìe,semi light,semi tannic,dry,acidic,Toscana,North,North-west
