,name,rating,region,"price, kr.",light-bold,smooth-tannic,dry-sweet,soft-acidic,winery
106,Quarto Vecchio Amarone della Valpolicella Classico Riserva ,4.7,Amarone della Valpolicella Classico,1214.79 ,82.5,28.1469,46.1511,23.1554,Il Canovino
107,Riserva vecchie viti dei Capalot e delle Brunate Barolo ,4.7,Barolo,,62.0432,79.7387,20.6064,81.3697,Roberto Voerzio
108,Falletto Barolo Le Rocche del Falletto ,4.7,Barolo,3053.91 ,55.9928,74.4472,5.892580000000001,82.4511,Bruno Giacosa
109,Bonsai ,4.7,Rosso di Montalcino,1406.62 ,40.2843,40.4815,9.9667,43.2815,Podere le Ripi
110,Il Bisesto Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,600 ,65.6145,27.6657,40.1898,31.8223,Le Calendre
111,Sei Vigne Insynthesis ,4.7,Barbera d'Asti,561.76 ,67.8344,40.8734,19.3519,31.1282,Vinchio - Vaglio Serra
112,Campo del Drago Brunello di Montalcino ,4.7,Toscana,949.95 ,49.7284,57.8292,2.55206,62.4186,Castiglion del Bosco
113,Arborina Barolo ,4.7,Barolo,968.31 ,58.2307,74.66199999999999,8.8482,81.8193,Elio Altare
114,Barolo Rocche Marcenasco ,4.7,Barolo,1549.31 ,61.367,66.9237,8.1,76.7741,Renato Ratti
115,Dulcore ,4.7,Sardegna,,82.5,40.0,15.0,15.0,Mirto
116,Amarone Stella ,4.7,Amarone della Valpolicella Classico,1110.07 ,48.443999999999996,32.2556,29.671599999999998,55.0317,Aneri
117,Riserva Ferré Brunello di Montalcino ,4.7,Brunello di Montalcino,1723.13 ,50.4,50.6,4.2,62.599999999999994,Frescobaldi
118,Perpiero ,4.7,Toscana,631.83 ,55.1863,48.6353,4.199039999999999,45.7818,Tenuta Moraia
119,Altèsfere Rosso ,4.7,Vino d'Italia,284.57 ,,,,,Lauterbach
120,Ampio ,4.7,Toscana,1068.71 ,54.4739,44.5336,-2.5,44.5448,Le Mortelle
121,Campasso Rosso Veronese ,4.7,Rosso Veronese,407.46 ,67.4677,36.2056,2.9193499999999997,17.1492,Villa Contea
122,Unoperuno Barolo ,4.7,Barolo,2269 ,45.1977,62.8985,-2.5,78.6433,Elio Altare
123,Amarone della Valpolicella Classico Villa ,4.7,Amarone della Valpolicella,582.18 ,82.5,19.7044,51.7,18.8444,Domini Veneti
124,Riserva Barolo ,4.7,Barolo,560.88 ,55.8042,65.979,12.5131,78.9738,Renato Corino
125,La Casa Brunello di Montalcino ,4.7,Brunello di Montalcino,362.22 ,46.1927,50.4976,3.82557,58.6636,Caparzo
126,Dieci Anni Amarone della Valpolicella Riserva ,4.7,Amarone della Valpolicella,976.66 ,82.5,32.4612,42.4547,16.7047,Villa Canestrari
127,Poggio Al Vento Brunello di Montalcino Riserva ,4.7,Brunello di Montalcino,2234.57 ,47.0533,55.0116,3.89741,59.2361,Col d'Orcia
128,Arcano La Luna ,4.7,Puglia,555.15 ,56.6649,29.2926,33.5479,30.2979,Terrulenta
129,Il Velluto Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,365 ,80.9054,17.8047,44.5723,17.8856,Meroni
130,Campo del Tìtari Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,422 ,81.6938,28.874000000000002,46.6512,22.7558,Brunelli
131,D.N.A ,4.7,Montefalco,499 ,41.6525,36.1992,-2.5,48.428000000000004,Alfredosa
132,Mago Amarone della Valpolicella ,4.6,Amarone della Valpolicella,516.41 ,82.5,13.1892,40.8513,14.6892,Corte Lenguin
133,S'Indora ,4.7,Toscana,765.82 ,42.7551,40.0,15.0,40.0,Mocine
134,Amarone della Valpolicella Riserva Cent’anni ,4.7,Amarone della Valpolicella,953 ,82.5,19.076,46.7703,21.6926,Trabucchi d'Illasi
135,Kapnios Aglianico ,4.7,Campania,610.78 ,82.5,29.9386,27.6462,22.9095,Masseria Frattasi
136,Barolo Cannubi Boschis ,4.7,Barolo,1200 ,61.1355,73.232,10.0997,77.9823,Sandrone
137,Vigneto La Cà Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,140 ,82.5,32.8973,52.3356,20.0548,Contramalini
138,Massimo Martinelli Il Barolo Come lo Sento Io ,4.7,Piemonte,,55.2829,57.468999999999994,24.4322,61.693799999999996,Bricco Mollea
139,Since  Primitivo di Manduria Limited Platinum Edition ,4.7,Primitivo di Manduria,186.14 ,74.5888,26.875,36.5214,11.3322,Emera
140,Campedel Amarone della Valpolicella Classico ,4.7,Amarone della Valpolicella Classico,349 ,82.5,21.8963,43.4908,19.9596,Gamba
141,Tignanello ,4.6,Toscana,775 ,49.3697,38.9884,7.701599999999999,41.8949,Antinori
142,Limited Edition  Vendemmie N.V.,4.6,Montepulciano d'Abruzzo,299 ,52.5559,34.2017,23.578000000000003,55.4992,Tenuta Ulisse
143,Tenuta Nuova Brunello di Montalcino ,4.6,Brunello di Montalcino,849.95 ,47.8675,54.8242,9.9411,60.99100000000001,Casanova di Neri
144,Poggio all'Oro Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,999 ,45.2731,52.4093,7.802099999999999,61.71169999999999,Banfi
145,Kurni Marche ,4.6,Marche,1452.47 ,54.5371,39.9811,31.029000000000003,40.2861,Oasi degli Angeli
146,Amarone della Valpolicella Classico Riserva (Sergio Zenato) ,4.6,Amarone della Valpolicella Classico,680.42 ,82.5,21.638,48.5997,19.644000000000002,Zenato
147,Calcarole Amarone della Valpolicella Classico ,4.6,Amarone della Valpolicella Classico,672.50 ,80.4721,18.9917,52.0415,20.1438,Guerrieri Rizzardi
148,Barolo Cascina Francia ,4.6,Barolo,1995 ,59.653999999999996,74.9562,5.35222,80.0543,Giacomo Conterno
149,Vendemmia d'Artista L'Eleganza ,4.6,Bolgheri Superiore,1088.36 ,55.9099,58.4033,17.7133,48.9216,Ornellaia
150,Alteo Amarone della Valpolicella ,4.6,Amarone della Valpolicella,1245 ,82.5,21.8538,42.8361,25.2683,Fasoli Gino
151,Bibbona ,4.6,Toscana,899 ,52.4032,39.6393,7.7196,42.5511,Biserno
152,Barolo Riserva ,4.6,Barolo,673.16 ,59.452,73.6172,3.43241,81.8497,Borgogno
153,Pietro Dal Cero Amarone della Valpolicella ,4.6,Amarone della Valpolicella,595 ,80.1561,24.962,45.7307,24.059,Cà dei Frati
154,Limited Edition  Vendemmie ,4.6,Montepulciano d'Abruzzo,299 ,52.5559,34.2017,23.578000000000003,55.4992,Tenuta Ulisse
155,Pagliaro Montefalco Sagrantino Secco ,4.6,Montefalco Sagrantino,431.67 ,51.8817,46.0969,8.7336,42.7174,Paolo Bea
156,Ca' Florian Amarone della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella Classico,715 ,82.0322,18.0416,47.5133,21.8441,Tommasi
157,Guado de' Gemoli ,4.6,Bolgheri Superiore,444.98 ,64.7819,60.5758,9.0119,48.9341,Giovanni Chiappini
158,Flaccianello della Pieve ,4.6,Colli della Toscana Centrale,1397.16 ,50.2446,41.9669,8.1009,43.6019,Fontodi
159,Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,973.95 ,47.1539,54.541000000000004,7.780799999999999,62.4752,Antinori
160,Ripe al Convento Brunello di Montalcino Riserva ,4.6,Brunello di Montalcino,1099 ,49.5952,55.692,10.3598,60.2391,Tenuta CastelGiocondo
161,Guerriero della Terra ,4.6,Marche,138.36 ,60.0798,31.9319,39.3201,36.387,Guerrieri
162,Valpolicella Superiore Monte Lodoletta ,4.6,Valpolicella,649 ,51.3816,36.1542,22.7792,53.1579,Dal Forno Romano
163,Valpolicella Classico Superiore ,4.6,Valpolicella Classico,573.61 ,43.7948,30.1319,19.2654,51.3011,Quintarelli Giuseppe
164,Duca di Montalbo ,4.6,Terre Siciliane,426.21 ,82.5,44.7975,32.1579,22.8076,G. Milazzo
165,Pieve Santa Restituta Sugarille Brunello di Montalcino ,4.6,Brunello di Montalcino,1020.45 ,49.011,56.8985,7.6129999999999995,62.85080000000001,Gaja
166,De Bvris Amarone della Valpolicella Classico Riserva ,4.6,Amarone della Valpolicella Classico,2299 ,68.5245,19.1092,44.8091,29.9863,Tommasi
167,Amarone della Valpolicella Riserva Gino Cordin ,4.6,Amarone della Valpolicella,1202.80 ,82.5,25.1296,43.1913,17.8391,Accordini
168,Barbaresco Camp Gros Martinenga Riserva ,4.6,Barbaresco,599.80 ,60.0957,67.7716,6.892669999999999,81.4573,Marchesi di Gresy
169,Lilium Est Amarone Della Valpolicella Riserva ,4.6,Amarone della Valpolicella,705.83 ,82.5,21.8855,53.7246,22.9465,Tenuta Sant'Antonio
170,Amarone ,4.6,Amarone della Valpolicella,899 ,81.4171,22.6614,45.6292,23.7966,Le Guaite di Noemi
171,Cerretta Barolo Riserva (Vigna Bricco) ,4.6,Barolo,823.07 ,60.1766,82.1162,3.4362500000000002,82.5,Elio Altare
