,price,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
171,823.07 kr.,62.6766,84.6162,5.93625,85,14.5,,,Elio Altare
172,505.51 kr.,81.1262,25.6881,54.053,24.771,16.1,,,Le Salette
173,525.33 kr.,65.6542,76.4297,13.0029,83.1184,,,,Anselma Giacomo
174,550 kr.,45.3959,55.8172,8.89371,63.6901,,,,Podere le Ripi
175,327.74 kr.,70.3282,39.7069,29.784,25.1894,,,,Erbhof Unterganzner
176,1200 kr.,58.4474,66.9926,10.4284,85,,,,Bruno Giacosa
177,1994.72 kr.,46.4198,59.468,11.0407,65.6479,,,,Gaja
178,1007.29 kr.,44.6502,55.2196,2.81782,61.1819,,,,Tassi
179,675 kr.,49.684,59.8158,10.1605,64.5346,,,,Podere le Ripi
180,662.92 kr.,63.824,78.0562,4.2432,84.3589,,,,Conterno Fantino
181,399 kr.,81.2699,26.1051,47.5247,28.8741,,,,Ca La Bionda
182,430.95 kr.,70.552,74.8205,3.94259,81.1199,,,,Franco Conterno
183,921.75 kr.,67.3425,45.5925,43.5803,19.5986,,,,Desmonta
184,439 kr.,78.3062,31.3985,49.9704,31.6336,,,,Pietro Zardini
185,255 kr.,84.7639,21.3587,46.0333,24.7368,,,,Corte Lenguin
186,844.08 kr.,53.4144,49.5457,10.5773,47.6425,14.5,,,Paolo Bea
187,300 kr.,50.7411,36.8889,26.1178,64.0478,,,,Cascina del Colle
188,332.83 kr.,49.2945,34.0317,11.4098,43.9423,,,,Verrazzano
189,419 kr.,85,26.3049,48.3008,24.974,,,,Brigaldara
190,847.38 kr.,62.534,35.7086,22.1692,25.9736,15,,,Quintarelli Giuseppe
191,3491.51 kr.,64.6373,78.7481,6.33906,84.4422,,,,Roberto Voerzio
192,798 kr.,48.0782,38.1909,12.3644,45.9148,,,,Podere Forte
193,999 kr.,64.9961,72.8278,9.16843,85,,,,La Spinetta
194,1172.22 kr.,66.001,73.9735,11.4163,73.6418,14.5,,,Damilano
195,1995 kr.,85,22.6066,48.2171,24.3247,,,,Buglioni
196,1987.50 kr.,62.6872,77.7359,9.1899,85,,,,Aldo Conterno
197,3017.41 kr.,38.366,40.9381,14.7677,66.4935,,,,Valentini
198,799 kr.,85,47.6012,24.6201,29.5568,15,,,Vinosia
199,3240.12 kr.,62.3598,83.4282,10.007,85,,,,Roberto Voerzio
200,336.20 kr.,82.0122,42.8672,32.4025,29.4619,,,,Tenuta Iuzzolini
201,1575.41 kr.,80.9687,34.0938,32.125,20.2187,,,,Carboni
202,540.44 kr.,48.1214,57.1406,6.67772,63.2122,,,,Poggio Rubino
203,1499 kr.,61.0458,76.762,11.0778,85,,,,Bruno Giacosa
204,444.98 kr.,56.041,42.7219,15.6131,42.6688,15,,,Tenuta di Nozzole
205,931.07 kr.,51.6711,44.6136,17.5954,44.2484,,,,Castello dei Rampolla
206,1050 kr.,62.2822,82.9531,15.1327,85,,,,Vietti
207,2508.32 kr.,60.6082,81.5542,4.07902,85,14,,,Mascarello Giuseppe e Figlio
208,1056.06 kr.,58.7279,79.1258,10.847,82.3406,,,,Giuseppe Rinaldi
209,709 kr.,67.9287,44.5608,33.2612,22.5596,,,,De Stefani
210,489.28 kr.,85,40.6292,31.2604,22.7521,,,,
211,,83.4593,31.3325,45.1208,26.57,15.5,,,Garbole
212,144.43 kr.,66.9645,28.2724,23.2855,23.892,,,,Fratelli Vogadori
213,10022.04 kr.,50.1916,42.8446,13.2075,45.4086,13,,,Castello di Ama
214,856.58 kr.,85,31.597,48.4239,25.3381,,,,Masi
215,399 kr.,60.1675,34.7881,11.4969,34.7917,14.5,,,Poderi del Paradiso
216,1907.03 kr.,55.3117,38.1623,15.1087,40.3613,,,,Tua Rita
217,1109.84 kr.,61.842,80.6958,8.46924,85,,,,Paolo Scavino
