,manufacturer,link,name,year,name_year,manufacturer_name_year,manufacturer_name
1588,Az. Agr. Talenti,https://www.dn.no/smak/vin/rosso-di-montalcino/4-1-38684,Rosso di Montalcino,2014,Rosso di Montalcino 2014,Az. Agr. Talenti Rosso di Montalcino 2014,Az. Agr. Talenti Rosso di Montalcino
1589,Eduardo Torres Acosta,https://www.dn.no/smak/vin/eduardo-torres-acosta-versante-nord-nerello-mascalese/4-1-37591,Eduardo Torres Acosta Versante Nord Nerello Mascalese,2014,Eduardo Torres Acosta Versante Nord Nerello Mascalese 2014,Eduardo Torres Acosta Eduardo Torres Acosta Versante Nord Nerello Mascalese 2014,Eduardo Torres Acosta Eduardo Torres Acosta Versante Nord Nerello Mascalese
1590,Gaja,https://www.dn.no/smak/vin/sito-moresco-2013/4-1-29951,Sito Moresco 2013,2013,Sito Moresco 2013 2013,Gaja Sito Moresco 2013 2013,Gaja Sito Moresco 2013
1591,Amalia Cascina in Langa,https://www.dn.no/smak/vin/barolo/4-1-30938,Barolo,2011,Barolo 2011,Amalia Cascina in Langa Barolo 2011,Amalia Cascina in Langa Barolo
1592,Ar.Pe.Pe,https://www.dn.no/smak/vin/rosso-di-valtellina/4-1-39326,Rosso di Valtellina,2014,Rosso di Valtellina 2014,Ar.Pe.Pe Rosso di Valtellina 2014,Ar.Pe.Pe Rosso di Valtellina
1593,Az. Agr. Foradori,https://www.dn.no/smak/vin/foradori-teroldego-sgarzon/4-1-38610,Foradori Teroldego Sgarzon,2014,Foradori Teroldego Sgarzon 2014,Az. Agr. Foradori Foradori Teroldego Sgarzon 2014,Az. Agr. Foradori Foradori Teroldego Sgarzon
1594,Cast. dei Rampolla,https://www.dn.no/smak/vin/chianti-classico/4-1-42987,Chianti Classico,2014,Chianti Classico 2014,Cast. dei Rampolla Chianti Classico 2014,Cast. dei Rampolla Chianti Classico
1595,Az. Agr. Brovia,https://www.dn.no/smak/vin/brovia-barolo-garblet-sue/4-1-31882,Brovia Barolo Garblet Sue,2006,Brovia Barolo Garblet Sue 2006,Az. Agr. Brovia Brovia Barolo Garblet Sue 2006,Az. Agr. Brovia Brovia Barolo Garblet Sue
1596,Aldo Conterno,https://www.dn.no/smak/vin/aldo-conterno-barbera-de-alba-conca-tre-pile/4-1-45713,Aldo Conterno Barbera de Alba Conca Tre Pile,2013,Aldo Conterno Barbera de Alba Conca Tre Pile 2013,Aldo Conterno Aldo Conterno Barbera de Alba Conca Tre Pile 2013,Aldo Conterno Aldo Conterno Barbera de Alba Conca Tre Pile
1597,Az. Agr. Segni di Langa,https://www.dn.no/smak/vin/barbera-dalba-greta/4-1-42300,Barbera d'Alba Greta,2015,Barbera d'Alba Greta 2015,Az. Agr. Segni di Langa Barbera d'Alba Greta 2015,Az. Agr. Segni di Langa Barbera d'Alba Greta
1598,Burlotto,https://www.dn.no/smak/vin/langhe-nebbiolo/4-1-42985,Langhe Nebbiolo,2015,Langhe Nebbiolo 2015,Burlotto Langhe Nebbiolo 2015,Burlotto Langhe Nebbiolo
1599,Montanello,https://www.dn.no/smak/vin/barolo-montanello/4-1-51458,Barolo Montanello,2012,Barolo Montanello 2012,Montanello Barolo Montanello 2012,Montanello Barolo Montanello
1600,Scarzello,https://www.dn.no/smak/vin/barolo/4-1-48115,Barolo,2011,Barolo 2011,Scarzello Barolo 2011,Scarzello Barolo
1601,Oltretorrente,https://www.dn.no/smak/vin/colli-tortonesi-barbera-superiore/4-1-75569,Colli Tortonesi Barbera Superiore,2016,Colli Tortonesi Barbera Superiore 2016,Oltretorrente Colli Tortonesi Barbera Superiore 2016,Oltretorrente Colli Tortonesi Barbera Superiore
1602,Ferdinando Principiano,https://www.dn.no/smak/vin/principiano-barolo-ravera-di-monforte/4-1-43480,Principiano Barolo Ravera di Monforte,2013,Principiano Barolo Ravera di Monforte 2013,Ferdinando Principiano Principiano Barolo Ravera di Monforte 2013,Ferdinando Principiano Principiano Barolo Ravera di Monforte
1603,Siro Pacenti,https://www.dn.no/smak/vin/siro-pacenti-pelagrilli-brunello-di-montalcino/4-1-50942,Siro Pacenti Pelagrilli Brunello di Montalcino,2012,Siro Pacenti Pelagrilli Brunello di Montalcino 2012,Siro Pacenti Siro Pacenti Pelagrilli Brunello di Montalcino 2012,Siro Pacenti Siro Pacenti Pelagrilli Brunello di Montalcino
1604,Az. Agr. Fontodi,https://www.dn.no/smak/vin/fontodi-chianti-classico-docg/4-1-47638,Fontodi Chianti Classico DOCG,2014,Fontodi Chianti Classico DOCG 2014,Az. Agr. Fontodi Fontodi Chianti Classico DOCG 2014,Az. Agr. Fontodi Fontodi Chianti Classico DOCG
1605,Frank Cornelissen,https://www.dn.no/smak/vin/cornelissen-munjebel-rosso-mc-monte-colla/4-1-39450,Cornelissen Munjebel Rosso MC Monte Colla,2014,Cornelissen Munjebel Rosso MC Monte Colla 2014,Frank Cornelissen Cornelissen Munjebel Rosso MC Monte Colla 2014,Frank Cornelissen Cornelissen Munjebel Rosso MC Monte Colla
1606,Ten. La Fuga,https://www.dn.no/smak/vin/la-fuga-brunello-di-montalcino/4-1-34716,La Fuga Brunello di Montalcino,2011,La Fuga Brunello di Montalcino 2011,Ten. La Fuga La Fuga Brunello di Montalcino 2011,Ten. La Fuga La Fuga Brunello di Montalcino
1607,Podere Il Carnasciale,https://www.dn.no/smak/vin/il-caberlot/4-1-33858,Il Caberlot,2011,Il Caberlot 2011,Podere Il Carnasciale Il Caberlot 2011,Podere Il Carnasciale Il Caberlot
1608,Prunotto,https://www.dn.no/smak/vin/barbaresco-classico/4-1-27459,Barbaresco Classico,2012,Barbaresco Classico 2012,Prunotto Barbaresco Classico 2012,Prunotto Barbaresco Classico
1609,Fatt. di Bacchereto,https://www.dn.no/smak/vin/carmignano-terre-a-mano/4-1-13995,Carmignano Terre a Mano,2009,Carmignano Terre a Mano 2009,Fatt. di Bacchereto Carmignano Terre a Mano 2009,Fatt. di Bacchereto Carmignano Terre a Mano
1610,Az. Agr. Zidarich,https://www.dn.no/smak/vin/zidarich-teran/4-1-29900,Zidarich Teran,2012,Zidarich Teran 2012,Az. Agr. Zidarich Zidarich Teran 2012,Az. Agr. Zidarich Zidarich Teran
1611,Az. Agr. La Contea,https://www.dn.no/smak/vin/barbaresco-ripa-sorita/4-1-6663,Barbaresco Ripa Sorita,2006,Barbaresco Ripa Sorita 2006,Az. Agr. La Contea Barbaresco Ripa Sorita 2006,Az. Agr. La Contea Barbaresco Ripa Sorita
1612,I Vigneri di Salvo Foti,https://www.dn.no/smak/vin/etna-rosso-doc/4-1-36198,Etna Rosso DOC,2014,Etna Rosso DOC 2014,I Vigneri di Salvo Foti Etna Rosso DOC 2014,I Vigneri di Salvo Foti Etna Rosso DOC
1613,Barale Fratelli,https://www.dn.no/smak/vin/barolo/4-1-50507,Barolo,2011,Barolo 2011,Barale Fratelli Barolo 2011,Barale Fratelli Barolo
1614,San Polo,https://www.dn.no/smak/vin/san-polo-rosso-di-montalcino/4-1-30618,San Polo Rosso di Montalcino,2014,San Polo Rosso di Montalcino 2014,San Polo San Polo Rosso di Montalcino 2014,San Polo San Polo Rosso di Montalcino
