,name,rating,region,link
147,Veneto Alzero Cabernet 2005,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=2005
148,Amarone della Valpolicella Monte Lodoletta 2002,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2002
149,Amarone della Valpolicella Monte Lodoletta 1999,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=1999
150,Veneto Alzero Cabernet 2006,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=2006
151,Lodovico 2007,4.7,Toscana,https://www.vivino.com/tenuta-campo-di-sasso-lodovico/w/1320744?year=2007
152,Harlequin 2009,4.7,Veneto,https://www.vivino.com/zyme-harlequin/w/1446306?year=2009
153,Brunello di Montalcino Riserva 1998,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=1998
154,Millecento Brunello di Montalcino Riserva 2012,4.7,Brunello di Montalcino,https://www.vivino.com/castiglion-del-bosco-millecento-brunello-di-montalcino-riserva/w/1311318?year=2012
155,Rinaldi Maior Amarone della Valpolicella 2000,4.7,Amarone della Valpolicella,https://www.vivino.com/villa-rinaldi-rinaldi-maior-amarone-della-valpolicella/w/100431?year=2000
156,Brunello di Montalcino Riserva 2002,4.7,Brunello di Montalcino,https://www.vivino.com/soldera-brunello-di-montalcino-riserva/w/1174525?year=2002
157,Conteisa Langhe 2001,4.7,Langhe,https://www.vivino.com/gaja-conteisa-langhe/w/66184?year=2001
158,Costa Russi (Barbaresco) Langhe 1998,4.7,Langhe,https://www.vivino.com/gaja-costa-russi-barbaresco-langhe/w/66114?year=1998
159,Sorì Tildìn (Barbaresco) Langhe 2000,4.7,Langhe,https://www.vivino.com/gaja-sori-tildin-barbaresco-langhe/w/66134?year=2000
160,Brunello di Montalcino Riserva 2010,4.7,Brunello di Montalcino,https://www.vivino.com/poggio-di-sotto-brunello-di-montalcino-riserva/w/1458882?year=2010
161,Costa Russi (Barbaresco) Langhe 2006,4.7,Langhe,https://www.vivino.com/gaja-costa-russi-barbaresco-langhe/w/66114?year=2006
162,Amarone della Valpolicella Classico Vigneto Il Fornetto 2004,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/azienda-agricola-accordini-stefano-amarone-della-valpolicella-classico-vigneto-il-fornetto/w/1127745?year=2004
163,Gran Pumo d'Oro Primitivo di Manduria Riserva 2014,4.7,Primitivo di Manduria,https://www.vivino.com/il-pumo-gran-pumo-d-oro-primitivo-di-manduria-riserva/w/5105319?year=2014
164,Veneto Alzero Cabernet 2008,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=2008
165,Amarone della Valpolicella Classico Vigneto Alto TB 2007,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/tommaso-bussola-amarone-della-valpolicella-classico-vigneto-alto-tb/w/74528?year=2007
166,Costa Russi (Barbaresco) Langhe 2001,4.7,Langhe,https://www.vivino.com/gaja-costa-russi-barbaresco-langhe/w/66114?year=2001
167,Sorì Tildìn (Barbaresco) Langhe 1998,4.7,Langhe,https://www.vivino.com/gaja-sori-tildin-barbaresco-langhe/w/66134?year=1998
168,Harlequin 2007,4.7,Veneto,https://www.vivino.com/zyme-harlequin/w/1446306?year=2007
169,Amarone della Valpolicella Monte Lodoletta 2012,4.7,Amarone della Valpolicella,https://www.vivino.com/dal-forno-romano-amarone-della-valpolicella-monte-lodoletta/w/89750?year=2012
170,Habemus Lazio Rosso (White Label) 2017,4.7,Lazio,https://www.vivino.com/san-giovenale-habemus-lazio-rosso-white-label/w/1836560?year=2017
171,Amarone della Valpolicella Classico Vigneto Il Fornetto 2006,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/azienda-agricola-accordini-stefano-amarone-della-valpolicella-classico-vigneto-il-fornetto/w/1127745?year=2006
172,Barolo Riserva Monfortino 2010,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=2010
173,Barolo Riserva Granbussia 2005,4.7,Barolo,https://www.vivino.com/aldo-conterno-barolo-riserva-granbussia/w/1138262?year=2005
174,Tenuta Guado al Tasso Matarocchio 2009,4.7,Maremma Toscana,https://www.vivino.com/antinori-tuscany-tenuta-guado-al-tasso-matarocchio/w/1415698?year=2009
175,Octavius Amarone della Valpolicella Riserva 2010,4.7,Amarone della Valpolicella,https://www.vivino.com/marchesi-fumanelli-octavius-amarone-della-valpolicella-riserva/w/2936438?year=2010
176,Due Mori Amarone della Vapolicella Riserva 2011,4.7,Amarone della Valpolicella,https://www.vivino.com/vacceos-due-mori-amarone-della-vapolicella-riserva/w/3234250?year=2011
177,Campolongo di Torbe Amarone della Valpolicella Classico 2000,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/it-masi-campolongo-di-torbe-amarone-della-valpolicella-classico/w/21938?year=2000
178,Veneto Alzero Cabernet 1998,4.7,Veneto,https://www.vivino.com/quintarelli-giuseppe-veneto-alzero-cabernet/w/1194532?year=1998
179,Amarone della Valpolicella Classico Vigneto Alto TB 2003,4.7,Amarone della Valpolicella Classico,https://www.vivino.com/tommaso-bussola-amarone-della-valpolicella-classico-vigneto-alto-tb/w/74528?year=2003
180,Barolo Riserva Monfortino 1998,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1998
181,Barolo Riserva Monfortino 1990,4.7,Barolo,https://www.vivino.com/giacomo-conterno-barolo-riserva-monfortino/w/82199?year=1990
182,Orgno Merlot Veronese 2011,4.7,Verona,https://www.vivino.com/fasoli-gino-orgno-merlot-veronese/w/91567?year=2011
183,Sorì San Lorenzo 1997,4.7,Langhe,https://www.vivino.com/gaja-sori-san-lorenzo/w/66144?year=1997
