,price,total_ratings,total_reviews,light-bold,smooth-tannic,dry-sweet,soft-acidic,alcohol_pct,residual_sugar_g/l,acidity_g/l,winery
1003,509.46 kr.,26,77.0,45.9949,43.1858,11.8729,47.4422,,,,Vecchie Terre di Montefili
1004,665.55 kr.,26,122.0,59.974,73.252,4.32138,85.0,,,,Parusso
1005,5000 kr.,26,311.0,63.2969,79.502,11.1704,85.0,15.0,,,Aldo Conterno
1006,250.83 kr.,26,17.0,63.2581,49.7041,7.0324300000000015,39.2622,,,,Leonucci
1007,119 kr.,26,246.0,66.9779,19.93,46.0049,9.75425,,,,Menhir
1008,417.12 kr.,26,36.0,48.3255,33.916,7.78988,46.1454,,,,Gualdo del Re
1009,936.66 kr.,26,16.0,42.8464,38.3184,13.0504,53.3991,,,,Marramiero
1010,247.66 kr.,26,25.0,85.0,25.9691,48.6697,25.3596,,,,Filippini
1011,100.93 kr.,26,31.0,44.7701,41.9634,7.4652,61.5769,,,,Solatione
1012,6852.67 kr.,26,520.0,42.8514,56.5698,12.7679,63.61,,,,Soldera
1013,299 kr.,27,31.0,52.53100000000001,39.9848,9.60722,49.2432,,,,Fattoria Le Fonti
1014,671.43 kr.,26,51.0,62.7792,74.1833,0.0,79.7707,,,,Oddero
1015,299 kr.,26,2579.0,62.246,77.8512,1.27694,85.0,,,,Travaglini
1016,160 kr.,26,58.0,66.4175,31.3877,46.5104,23.3936,,,,Fratelli Vogadori
1017,148.23 kr.,26,18.0,62.9344,17.8538,16.347,67.1735,,,,Stella Giuseppe
1018,329.23 kr.,26,324.0,64.1163,79.6047,4.96752,83.4458,,,,Brezza
1019,260.70 kr.,26,113.0,44.195,53.9098,0.6547970000000001,63.1722,,,,Collelceto
1020,364.37 kr.,26,127.0,43.2697,53.7134,13.0046,63.5312,,,,Talenti
1021,210.25 kr.,25,6.0,67.5,43.2843,10.1912,17.5,,,,Castello di Razzano
1022,133.06 kr.,25,12.0,58.7789,33.9904,6.7019199999999985,64.4872,,,,Moretti Adimari
1023,153.63 kr.,25,11.0,85.0,39.4012,39.9244,24.6919,,,,Salvatore Tamburello
1024,221.51 kr.,25,3.0,59.3125,34.375,42.5,34.375,,,,Villa Morago
1025,1074.48 kr.,25,9.0,44.25,30.0944,4.20556,33.8667,,,,Arnaldo-Caprai
1026,445.91 kr.,25,17.0,45.9804,50.6536,1.4595,57.4176,,,,Mastrojanni
1027,316.19 kr.,25,24.0,52.7232,40.8432,7.25848,45.1455,,,,Sant'Agnese
1028,1478.13 kr.,25,72.0,78.2931,20.2669,49.2746,19.32,,,,Quintarelli Giuseppe
1029,1802.25 kr.,25,292.0,48.5966,58.1729,11.7776,66.1322,,,,Fuligni
1030,335.19 kr.,25,665.0,63.2277,76.1518,12.7392,84.0955,,,,Fontanafredda
1031,8007.20 kr.,25,536.0,64.1093,75.3074,7.48802,84.5199,14.5,,,Ceretto
1032,425 kr.,25,42.0,55.3762,46.8598,14.9197,50.3295,14.0,,,Campo alle Comete
1033,325.48 kr.,25,12.0,57.3891,40.2984,0.0,36.7344,,,,La Casa di Bricciano
1034,2449 kr.,25,6120.0,85.0,22.806,49.9394,22.9586,,,,Tommasi
1035,580.99 kr.,25,51.0,61.3044,53.5127,6.73665,38.7546,,,,Bressan
1036,147.67 kr.,25,10.0,59.8443,37.0778,8.89858,21.5142,,,,Corte Fornaledo
1037,2370.21 kr.,25,32.0,35.8056,56.7667,11.6389,62.0889,,,,Pian dell'Orino
1038,499 kr.,25,882.0,45.7516,55.9738,8.11388,64.8369,,,,Ciacci Piccolomini d'Aragona
1039,,25,10.0,58.6005,31.8152,18.5679,42.0707,,,,Massimo Penna Viticoltore
1040,189 kr.,14513,3668.0,68.9558,22.259,47.1057,11.1188,14.5,17.0,6.0,San Marzano
